state1,state2,state3,improve,o,state11,state21,state31,ifr4
0.989,0.9575,0.9336,0.996,0.1,0.989,0.9575,0.9336,0.09882356
0.9714,0.9024,0.8501,0.9818,0.1,0.989,0.9575,0.9336,0.10347413
0.9439,0.8433,0.7745,0.9647,0.1,0.989,0.9575,0.9336,0.108387656
0.9108,0.7868,0.7064,0.9517,0.1,0.989,0.9575,0.9336,0.109470284
0.8804,0.7283,0.6289,0.9391,0.1,0.989,0.9575,0.9336,0.108918122
0.8511,0.6823,0.5806,0.9288,0.1,0.989,0.9575,0.9336,0.107817912
0.8179,0.6274,0.5183,0.9171,0.1,0.989,0.9575,0.9336,0.105253607
0.7965,0.5821,0.4636,0.9054,0.1,0.989,0.9575,0.9336,0.103384338
0.7733,0.5405,0.4273,0.8935,0.1,0.989,0.9575,0.9336,0.10130618
0.756,0.5058,0.3978,0.8864,0.1,0.989,0.9575,0.9336,0.097773984
0.7369,0.471,0.3705,0.8752,0.1,0.989,0.9575,0.9336,0.09537888
0.7165,0.4462,0.3491,0.8675,0.1,0.989,0.9575,0.9336,0.093203775
0.6873,0.4174,0.33,0.8572,0.1,0.989,0.9575,0.9336,0.090671848
0.6623,0.3767,0.3011,0.8484,0.1,0.989,0.9575,0.9336,0.084502272
0.6492,0.3602,0.2718,0.8413,0.1,0.989,0.9575,0.9336,0.0831539
0.6291,0.3422,0.2422,0.8396,0.1,0.989,0.9575,0.9336,0.079735104
0.6083,0.3288,0.2284,0.8293,0.1,0.989,0.9575,0.9336,0.079494756
0.5918,0.2981,0.2209,0.8234,0.1,0.989,0.9575,0.9336,0.07328892
0.5772,0.2823,0.2082,0.8192,0.1,0.989,0.9575,0.9336,0.0704016
0.5619,0.2656,0.1955,0.8158,0.1,0.989,0.9575,0.9336,0.066990058
0.5491,0.2503,0.1865,0.8028,0.1,0.989,0.9575,0.9336,0.065775464
0.5381,0.2351,0.1761,0.7953,0.1,0.989,0.9575,0.9336,0.063217706
0.5278,0.2278,0.1644,0.7886,0.1,0.989,0.9575,0.9336,0.062645812
0.5194,0.2205,0.1591,0.7816,0.1,0.989,0.9575,0.9336,0.061916736
0.5103,0.2132,0.1539,0.7713,0.1,0.989,0.9575,0.9336,0.061683263
0.498,0.1994,0.15,0.7622,0.1,0.989,0.9575,0.9336,0.059048588
0.4895,0.1977,0.1434,0.759,0.1,0.989,0.9575,0.9336,0.05919519
0.4764,0.1936,0.1408,0.7573,0.1,0.989,0.9575,0.9336,0.058230832
